experiment,model_label,method,condition,check,k,n_queries,mean_actual_k,mean_delta_g,delta_g_ci_low,delta_g_ci_high,mean_abs_g_gap,abs_g_gap_ci_low,abs_g_gap_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,sign_preservation_rate,sign_preservation_ci_low,sign_preservation_ci_high
cross_encoder,Cross-encoder,loo_pairwise,explanation,deletion,1,150,1.0,4.645576252341271,3.8386591842720907,5.561944843399028,4.645576252341271,3.8422771658624213,5.4607562701404095,0.14,0.08666666666666667,0.2,0.86,0.8,0.9133333333333333
cross_encoder,Cross-encoder,loo_pairwise,explanation,deletion,3,150,3.0,7.473066614866257,6.633412788572411,8.421233511440455,7.473066614866257,6.5052480695173145,8.3969089192003,0.24666666666666667,0.18,0.32,0.7533333333333333,0.6866666666666666,0.82
cross_encoder,Cross-encoder,loo_pairwise,explanation,deletion,5,150,5.0,8.88210019732515,7.950305822839339,9.94588956648608,8.88210019732515,7.874693786280851,9.914613402220109,0.30666666666666664,0.23333333333333334,0.38,0.6933333333333334,0.62,0.7666666666666667
cross_encoder,Cross-encoder,loo_pairwise,explanation,deletion,10,150,10.0,11.106025309860707,10.092765504700443,12.125603173535316,11.106025309860707,10.038330080221098,12.056885473226506,0.42,0.3398333333333334,0.5,0.58,0.49983333333333335,0.66
cross_encoder,Cross-encoder,loo_pairwise,explanation,deletion,20,150,20.0,13.32672738554577,12.357911343295747,14.313582905758793,13.32672738554577,12.380389608899131,14.33519478365158,0.5333333333333333,0.44666666666666666,0.6133333333333333,0.4666666666666667,0.3933333333333333,0.54
cross_encoder,Cross-encoder,loo_pairwise,random,deletion,1,150,1.0,0.19653988457967841,0.16832611490959926,0.22832650369610627,0.19653988457967841,0.16996994934293125,0.2243257807863877,0.004000000000000001,0.0006666666666666668,0.008666666666666668,0.996,0.9913333333333333,0.9993333333333334
cross_encoder,Cross-encoder,loo_pairwise,random,deletion,3,150,3.0,0.6843241905122996,0.5852739669284472,0.7889323471778382,0.6844948283980291,0.5925755458682156,0.7878632238397375,0.012,0.0033333333333333335,0.02266666666666667,0.9879999999999999,0.9779999999999999,0.9966666666666667
cross_encoder,Cross-encoder,loo_pairwise,random,deletion,5,150,5.0,1.280288726054132,1.1094256677893302,1.4797893848824004,1.280844982030491,1.097839115888998,1.4652882318555687,0.030666666666666665,0.015333333333333332,0.04733333333333334,0.9693333333333334,0.9513333333333333,0.98335
cross_encoder,Cross-encoder,loo_pairwise,random,deletion,10,150,10.0,2.55880074480176,2.2332702000047386,2.899634509780134,2.5610279523034896,2.2309421619549394,2.9411357208650557,0.07666666666666666,0.04931666666666667,0.10868333333333333,0.9233333333333333,0.8919833333333335,0.9533333333333334
cross_encoder,Cross-encoder,loo_pairwise,random,deletion,20,150,20.0,4.98817863903443,4.47920948705934,5.586337338269254,5.000146562834581,4.481739681276058,5.535302443904057,0.14933333333333332,0.10396666666666668,0.19599999999999998,0.8506666666666667,0.8046666666666668,0.8920000000000001
cross_encoder,Cross-encoder,loo_pointwise,explanation,deletion,1,150,1.0,4.645576252341271,3.8418612573767703,5.578590365208686,4.645576252341271,3.905361673225959,5.475572206725676,0.14,0.08666666666666667,0.2,0.86,0.8,0.9068333333333332
cross_encoder,Cross-encoder,loo_pointwise,explanation,deletion,3,150,3.0,7.473066614866257,6.545542565460006,8.50527714704722,7.473066614866257,6.487599464422713,8.45189523863544,0.24666666666666667,0.17983333333333335,0.32666666666666666,0.7533333333333333,0.6866666666666666,0.8266666666666667
cross_encoder,Cross-encoder,loo_pointwise,explanation,deletion,5,150,5.0,8.88210019732515,7.894005795384446,9.936648080048462,8.88210019732515,7.897405722452949,9.965226387972633,0.30666666666666664,0.24,0.38,0.6933333333333334,0.62,0.7666666666666667
cross_encoder,Cross-encoder,loo_pointwise,explanation,deletion,10,150,10.0,11.106025309860707,10.117621136255563,12.125893726926297,11.106025309860707,10.107790968541057,12.089990801257391,0.42,0.34650000000000003,0.5066666666666667,0.58,0.5,0.66
